receive_time_ns,parse_ok,error,source_topic,source_stamp_sec,unity_update_time_sec,latency_ms,joint_count,raw_data
1783590599221858014,True,,/joint_states,1783590599.16138,1783590599.186,24.62,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.161380000,""unity_update_time_sec"":1783590599.186,""latency_ms"":24.620,""joint_count"":9}"
1783590599341342262,True,,/joint_states,1783590599.25983,1783590599.268,8.172,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.259830000,""unity_update_time_sec"":1783590599.268,""latency_ms"":8.172,""joint_count"":9}"
1783590599433364382,True,,/joint_states,1783590599.36201,1783590599.379,16.991,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.362010000,""unity_update_time_sec"":1783590599.379,""latency_ms"":16.991,""joint_count"":9}"
1783590599536060315,True,,/joint_states,1783590599.46041,1783590599.474,13.587,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.460410000,""unity_update_time_sec"":1783590599.474,""latency_ms"":13.587,""joint_count"":9}"
1783590599617618367,True,,/joint_states,1783590599.5588,1783590599.567,8.196,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.558800000,""unity_update_time_sec"":1783590599.567,""latency_ms"":8.196,""joint_count"":9}"
1783590599745644571,True,,/joint_states,1783590599.66102,1783590599.675,13.977,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.661020000,""unity_update_time_sec"":1783590599.675,""latency_ms"":13.977,""joint_count"":9}"
1783590599866768389,True,,/joint_states,1783590599.75955,1783590599.777,17.451,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.759550000,""unity_update_time_sec"":1783590599.777,""latency_ms"":17.451,""joint_count"":9}"
1783590599933956433,True,,/joint_states,1783590599.86169,1783590599.875,13.31,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.861690000,""unity_update_time_sec"":1783590599.875,""latency_ms"":13.310,""joint_count"":9}"
1783590600036181800,True,,/joint_states,1783590599.96025,1783590599.976,15.751,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590599.960250000,""unity_update_time_sec"":1783590599.976,""latency_ms"":15.751,""joint_count"":9}"
1783590600137925088,True,,/joint_states,1783590600.06255,1783590600.076,13.454,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.062550000,""unity_update_time_sec"":1783590600.076,""latency_ms"":13.454,""joint_count"":9}"
1783590600237386256,True,,/joint_states,1783590600.16076,1783590600.175,14.236,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.160760000,""unity_update_time_sec"":1783590600.175,""latency_ms"":14.236,""joint_count"":9}"
1783590600340215130,True,,/joint_states,1783590600.26333,1783590600.285,21.672,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.263330000,""unity_update_time_sec"":1783590600.285,""latency_ms"":21.672,""joint_count"":9}"
1783590600438054561,True,,/joint_states,1783590600.3615,1783590600.391,29.505,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.361500000,""unity_update_time_sec"":1783590600.391,""latency_ms"":29.505,""joint_count"":9}"
1783590600525501981,True,,/joint_states,1783590600.45981,1783590600.473,13.191,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.459810000,""unity_update_time_sec"":1783590600.473,""latency_ms"":13.191,""joint_count"":9}"
1783590600626704811,True,,/joint_states,1783590600.56206,1783590600.577,14.939,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.562060000,""unity_update_time_sec"":1783590600.577,""latency_ms"":14.939,""joint_count"":9}"
1783590600725926177,True,,/joint_states,1783590600.66062,1783590600.674,13.38,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.660620000,""unity_update_time_sec"":1783590600.674,""latency_ms"":13.380,""joint_count"":9}"
1783590600822418942,True,,/joint_states,1783590600.7627,1783590600.775,12.295,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590600.762700000,""unity_update_time_sec"":1783590600.775,""latency_ms"":12.295,""joint_count"":9}"
