time_ns,time_s,statusjoy,state_name
1783496559476986907,1783496559.476987,0,no_battery_power
1783496559489039864,1783496559.48904,0,no_battery_power
1783496559497262711,1783496559.4972625,0,no_battery_power
1783496559509663764,1783496559.5096638,0,no_battery_power
1783496559509793528,1783496559.5097935,0,no_battery_power
1783496559518551332,1783496559.5185513,0,no_battery_power
1783496559518661410,1783496559.5186613,0,no_battery_power
1783496559528334657,1783496559.5283346,0,no_battery_power
1783496559534128333,1783496559.5341284,0,no_battery_power
1783496559546928186,1783496559.5469282,0,no_battery_power
1783496559554567244,1783496559.554567,0,no_battery_power
1783496559558904067,1783496559.5589042,0,no_battery_power
1783496559562924204,1783496559.5629244,0,no_battery_power
1783496559571579556,1783496559.5715797,0,no_battery_power
1783496559575083562,1783496559.5750835,0,no_battery_power
1783496559579762619,1783496559.5797627,0,no_battery_power
1783496559595680802,1783496559.5956807,0,no_battery_power
1783496559599907578,1783496559.5999076,0,no_battery_power
1783496559607779925,1783496559.6077797,0,no_battery_power
1783496559612063849,1783496559.6120636,0,no_battery_power
1783496559616354104,1783496559.616354,0,no_battery_power
1783496559620389170,1783496559.6203892,0,no_battery_power
1783496559620585279,1783496559.6205852,0,no_battery_power
1783496559631546180,1783496559.631546,0,no_battery_power
1783496559636698799,1783496559.636699,0,no_battery_power
1783496559640390458,1783496559.6403904,0,no_battery_power
1783496559649203636,1783496559.6492038,0,no_battery_power
1783496559658932739,1783496559.6589327,0,no_battery_power
1783496559659260727,1783496559.6592607,0,no_battery_power
1783496559665225103,1783496559.6652253,0,no_battery_power
1783496559669596762,1783496559.6695967,0,no_battery_power
1783496559673305022,1783496559.673305,0,no_battery_power
1783496559677602130,1783496559.677602,0,no_battery_power
1783496559690045593,1783496559.6900456,0,no_battery_power
1783496559693754544,1783496559.6937547,0,no_battery_power
1783496559698185905,1783496559.698186,0,no_battery_power
1783496559710400787,1783496559.7104008,0,no_battery_power
1783496559714318892,1783496559.7143188,0,no_battery_power
1783496559718664491,1783496559.7186644,0,no_battery_power
1783496559723409473,1783496559.7234094,0,no_battery_power
1783496559727272313,1783496559.7272723,0,no_battery_power
1783496559735006221,1783496559.735006,0,no_battery_power
1783496559747085066,1783496559.747085,0,no_battery_power
1783496559755473296,1783496559.7554734,0,no_battery_power
1783496559759734907,1783496559.7597349,0,no_battery_power
1783496559767659884,1783496559.7676597,0,no_battery_power
1783496559775743740,1783496559.7757437,0,no_battery_power
1783496559782696958,1783496559.782697,0,no_battery_power
1783496559784021311,1783496559.7840211,0,no_battery_power
1783496559787995551,1783496559.7879956,0,no_battery_power
1783496559796570101,1783496559.79657,0,no_battery_power
1783496559800199422,1783496559.8001995,0,no_battery_power
1783496559816847128,1783496559.816847,0,no_battery_power
1783496559820578231,1783496559.8205783,0,no_battery_power
1783496559820702665,1783496559.8207028,0,no_battery_power
1783496559830264083,1783496559.830264,0,no_battery_power
1783496559837637982,1783496559.837638,0,no_battery_power
1783496559837737780,1783496559.8377378,0,no_battery_power
1783496559858108954,1783496559.858109,0,no_battery_power
1783496559858561757,1783496559.8585618,0,no_battery_power
1783496559869870072,1783496559.8698702,0,no_battery_power
1783496559878516206,1783496559.8785162,0,no_battery_power
1783496559878781706,1783496559.8787818,0,no_battery_power
