event_time,sensor_id,raw_time,converted_time,delta_ms,matched,reason
1754904964.896,imu,1754904964.896,1754904964.896,0.05,1,matched
1754904964.903,imu,1754904964.903,1754904964.903,0.05,1,matched
1754904964.910,imu,1754904964.910,1754904964.910,0.06,1,matched
1754904964.916,imu,1754904964.916,1754904964.916,0.08,1,matched
1754904964.923,imu,1754904964.923,1754904964.923,0.06,1,matched
1754904964.930,imu,1754904964.930,1754904964.930,0.06,1,matched
1754904964.936,imu,1754904964.936,1754904964.936,0.05,1,matched
1754904964.943,imu,1754904964.943,1754904964.943,0.04,1,matched
1754904964.950,imu,1754904964.950,1754904964.950,0.04,1,matched
1754904964.956,imu,1754904964.956,1754904964.956,0.05,1,matched
1754904964.963,imu,1754904964.963,1754904964.963,0.06,1,matched
1754904964.969,imu,1754904964.969,1754904964.969,0.05,1,matched
1754904964.976,imu,1754904964.976,1754904964.976,0.05,1,matched
1754904964.983,imu,1754904964.983,1754904964.983,0.05,1,matched
1754904964.990,imu,1754904964.989,1754904964.990,0.06,1,matched
1754904964.996,imu,1754904964.996,1754904964.996,0.07,1,matched
1754904965.003,imu,1754904965.003,1754904965.003,0.07,1,matched
1754904965.009,imu,1754904965.009,1754904965.009,0.06,1,matched
1754904965.016,imu,1754904965.016,1754904965.016,0.06,1,matched
1754904965.023,imu,1754904965.023,1754904965.023,0.05,1,matched
1754904965.034,imu,1754904965.034,1754904965.034,0.05,1,matched
1754904965.036,imu,1754904965.036,1754904965.036,0.04,1,matched
1754904965.043,imu,1754904965.043,1754904965.043,0.05,1,matched
1754904965.049,imu,1754904965.049,1754904965.049,0.06,1,matched
1754904965.056,imu,1754904965.056,1754904965.056,0.08,1,matched
1754904965.063,imu,1754904965.063,1754904965.063,0.06,1,matched
1754904965.069,imu,1754904965.069,1754904965.069,0.05,1,matched
1754904965.076,imu,1754904965.076,1754904965.076,0.06,1,matched
1754904965.083,imu,1754904965.083,1754904965.083,0.06,1,matched
1754904965.084,gps,1754904965.084,1754904965.084,0.05,1,matched
1754904965.089,imu,1754904965.089,1754904965.089,0.06,1,matched
1754904965.096,imu,1754904965.096,1754904965.096,0.05,1,matched
1754904965.103,imu,1754904965.103,1754904965.103,0.06,1,matched
1754904965.109,imu,1754904965.109,1754904965.109,0.05,1,matched
1754904965.116,imu,1754904965.116,1754904965.116,0.05,1,matched
1754904965.123,imu,1754904965.123,1754904965.123,0.08,1,matched
1754904965.129,imu,1754904965.129,1754904965.129,0.06,1,matched
1754904965.136,imu,1754904965.136,1754904965.136,0.06,1,matched
1754904965.143,imu,1754904965.143,1754904965.143,0.04,1,matched
1754904965.149,imu,1754904965.149,1754904965.149,0.04,1,matched
1754904965.156,imu,1754904965.156,1754904965.156,0.04,1,matched
1754904965.162,imu,1754904965.162,1754904965.162,0.05,1,matched
1754904965.169,imu,1754904965.169,1754904965.169,0.04,1,matched
1754904965.176,imu,1754904965.176,1754904965.176,0.04,1,matched
1754904965.180,lidar,1754904965.180,1754904965.180,0.04,1,matched
1754904965.182,imu,1754904965.182,1754904965.182,0.03,1,matched
1754904965.189,imu,1754904965.189,1754904965.189,0.05,1,matched
1754904965.196,imu,1754904965.196,1754904965.196,0.06,1,matched
1754904965.202,imu,1754904965.202,1754904965.202,0.07,1,matched
1754904965.209,imu,1754904965.209,1754904965.209,0.05,1,matched
1754904965.216,imu,1754904965.216,1754904965.216,0.04,1,matched
1754904965.222,imu,1754904965.222,1754904965.222,0.05,1,matched
1754904965.229,imu,1754904965.229,1754904965.229,0.09,1,matched
1754904965.236,imu,1754904965.236,1754904965.236,0.06,1,matched
1754904965.245,imu,1754904965.245,1754904965.245,0.11,1,matched
1754904965.252,imu,1754904965.252,1754904965.252,0.12,1,matched
1754904965.258,imu,1754904965.258,1754904965.258,0.06,1,matched
1754904965.265,imu,1754904965.265,1754904965.265,0.06,1,matched
1754904965.266,gps,1754904965.266,1754904965.266,0.04,1,matched
1754904965.272,imu,1754904965.271,1754904965.272,0.04,1,matched
1754904965.278,imu,1754904965.278,1754904965.278,0.05,1,matched
1754904965.285,imu,1754904965.285,1754904965.285,0.11,1,matched
1754904965.292,imu,1754904965.292,1754904965.292,0.07,1,matched
1754904965.298,imu,1754904965.298,1754904965.298,0.04,1,matched
1754904965.305,imu,1754904965.305,1754904965.305,0.08,1,matched
1754904965.312,imu,1754904965.312,1754904965.312,0.05,1,matched
1754904965.318,imu,1754904965.318,1754904965.318,0.06,1,matched
1754904965.325,imu,1754904965.325,1754904965.325,0.08,1,matched
1754904965.333,imu,1754904965.333,1754904965.333,0.05,1,matched
1754904965.338,imu,1754904965.338,1754904965.338,0.03,1,matched
1754904965.345,imu,1754904965.345,1754904965.345,0.04,1,matched
1754904965.353,imu,1754904965.353,1754904965.353,0.06,1,matched
1754904965.359,imu,1754904965.359,1754904965.359,0.07,1,matched
1754904965.366,imu,1754904965.366,1754904965.366,0.07,1,matched
1754904965.372,imu,1754904965.372,1754904965.372,0.05,1,matched
1754904965.379,imu,1754904965.379,1754904965.379,0.05,1,matched
1754904965.386,imu,1754904965.386,1754904965.386,0.07,1,matched
1754904965.392,imu,1754904965.392,1754904965.392,0.08,1,matched
1754904965.399,imu,1754904965.399,1754904965.399,0.05,1,matched
1754904965.406,imu,1754904965.406,1754904965.406,0.04,1,matched
1754904965.412,imu,1754904965.412,1754904965.412,0.06,1,matched
1754904965.419,imu,1754904965.419,1754904965.419,0.05,1,matched
1754904965.427,imu,1754904965.427,1754904965.427,0.07,1,matched
1754904965.434,imu,1754904965.434,1754904965.434,0.07,1,matched
1754904965.440,imu,1754904965.440,1754904965.440,0.04,1,matched
1754904965.447,imu,1754904965.447,1754904965.447,0.06,1,matched
1754904965.454,imu,1754904965.454,1754904965.454,0.06,1,matched
1754904965.460,imu,1754904965.460,1754904965.460,0.05,1,matched
1754904965.462,gps,1754904965.462,1754904965.462,0.03,1,matched
1754904965.467,imu,1754904965.467,1754904965.467,0.04,1,matched
1754904965.468,lidar,1754904965.468,1754904965.468,0.04,1,matched
1754904965.474,imu,1754904965.474,1754904965.474,0.04,1,matched
1754904965.481,imu,1754904965.480,1754904965.480,0.08,1,matched
1754904965.487,imu,1754904965.487,1754904965.487,0.09,1,matched
1754904965.494,imu,1754904965.494,1754904965.494,0.07,1,matched
1754904965.501,imu,1754904965.501,1754904965.501,0.08,1,matched
1754904965.507,imu,1754904965.507,1754904965.507,0.05,1,matched
1754904965.514,imu,1754904965.514,1754904965.514,0.04,1,matched
1754904965.520,imu,1754904965.520,1754904965.520,0.05,1,matched
1754904965.527,imu,1754904965.527,1754904965.527,0.06,1,matched
1754904965.534,imu,1754904965.534,1754904965.534,0.05,1,matched
1754904965.540,imu,1754904965.540,1754904965.540,0.05,1,matched
1754904965.547,imu,1754904965.547,1754904965.547,0.04,1,matched
1754904965.554,imu,1754904965.554,1754904965.554,0.04,1,matched
1754904965.560,imu,1754904965.560,1754904965.560,0.04,1,matched
1754904965.567,imu,1754904965.567,1754904965.567,0.04,1,matched
1754904965.574,imu,1754904965.574,1754904965.574,0.04,1,matched
1754904965.580,imu,1754904965.580,1754904965.580,0.05,1,matched
1754904965.587,imu,1754904965.587,1754904965.587,0.06,1,matched
1754904965.594,imu,1754904965.594,1754904965.594,0.09,1,matched
1754904965.601,imu,1754904965.601,1754904965.601,0.11,1,matched
1754904965.607,imu,1754904965.607,1754904965.607,0.04,1,matched
1754904965.614,imu,1754904965.614,1754904965.614,0.05,1,matched
1754904965.621,imu,1754904965.621,1754904965.621,0.05,1,matched
1754904965.628,imu,1754904965.628,1754904965.628,0.05,1,matched
1754904965.634,imu,1754904965.634,1754904965.634,0.10,1,matched
1754904965.641,imu,1754904965.641,1754904965.641,0.06,1,matched
1754904965.648,imu,1754904965.648,1754904965.648,0.11,1,matched
1754904965.654,imu,1754904965.654,1754904965.654,0.05,1,matched
1754904965.661,imu,1754904965.661,1754904965.661,0.04,1,matched
1754904965.664,gps,1754904965.664,1754904965.664,0.04,1,matched
1754904965.668,imu,1754904965.668,1754904965.668,0.05,1,matched
1754904965.674,imu,1754904965.674,1754904965.674,0.06,1,matched
1754904965.681,imu,1754904965.681,1754904965.681,0.04,1,matched
1754904965.688,imu,1754904965.687,1754904965.687,0.05,1,matched
1754904965.694,imu,1754904965.694,1754904965.694,0.05,1,matched
1754904965.701,imu,1754904965.701,1754904965.701,0.05,1,matched
1754904965.708,imu,1754904965.707,1754904965.707,0.04,1,matched
1754904965.714,imu,1754904965.714,1754904965.714,0.04,1,matched
1754904965.721,imu,1754904965.721,1754904965.721,0.06,1,matched
1754904965.728,imu,1754904965.728,1754904965.728,0.05,1,matched
1754904965.734,imu,1754904965.734,1754904965.734,0.05,1,matched
1754904965.741,imu,1754904965.741,1754904965.741,0.04,1,matched
1754904965.748,imu,1754904965.748,1754904965.748,0.04,1,matched
1754904965.754,imu,1754904965.754,1754904965.754,0.04,1,matched
1754904965.757,lidar,1754904965.757,1754904965.757,0.04,1,matched
1754904965.761,imu,1754904965.761,1754904965.761,0.04,1,matched
1754904965.768,imu,1754904965.768,1754904965.768,0.06,1,matched
1754904965.774,imu,1754904965.774,1754904965.774,0.05,1,matched
1754904965.781,imu,1754904965.781,1754904965.781,0.04,1,matched
1754904965.788,imu,1754904965.788,1754904965.788,0.05,1,matched
1754904965.794,imu,1754904965.794,1754904965.794,0.04,1,matched
1754904965.802,imu,1754904965.802,1754904965.802,0.06,1,matched
1754904965.809,imu,1754904965.809,1754904965.809,0.04,1,matched
1754904965.815,imu,1754904965.815,1754904965.815,0.04,1,matched
1754904965.822,imu,1754904965.822,1754904965.822,0.07,1,matched
1754904965.828,imu,1754904965.828,1754904965.828,0.06,1,matched
1754904965.835,imu,1754904965.835,1754904965.835,0.05,1,matched
1754904965.842,imu,1754904965.841,1754904965.842,0.05,1,matched
1754904965.848,imu,1754904965.848,1754904965.848,0.06,1,matched
1754904965.855,imu,1754904965.855,1754904965.855,0.09,1,matched
1754904965.861,imu,1754904965.861,1754904965.861,0.05,1,matched
1754904965.866,gps,1754904965.866,1754904965.866,0.05,1,matched
