time_ns,joint_name,hardware_position,ros_position,error
1783419907919313917,arm_link2_to_arm3_joint,,,
1783419907919313917,arm_link3_to_arm4_joint,,,
1783419907919313917,arm_link4_to_armFork_joint,,,
1783419908019191560,base_to_cylinder_joint,,,
1783419908019191560,cylinder_to_arm1_joint,,,
1783419908019191560,arm_link1_to_arm2_joint,,,
1783419908019191560,arm_link2_to_arm3_joint,,,
1783419908019191560,arm_link3_to_arm4_joint,,,
1783419908019191560,arm_link4_to_armFork_joint,,,
1783419908119075830,base_to_cylinder_joint,,,
1783419908119075830,cylinder_to_arm1_joint,,,
1783419908119075830,arm_link1_to_arm2_joint,,,
1783419908119075830,arm_link2_to_arm3_joint,,,
1783419908119075830,arm_link3_to_arm4_joint,,,
1783419908119075830,arm_link4_to_armFork_joint,,,
1783419908219031823,base_to_cylinder_joint,,,
1783419908219031823,cylinder_to_arm1_joint,,,
1783419908219031823,arm_link1_to_arm2_joint,,,
1783419908219031823,arm_link2_to_arm3_joint,,,
1783419908219031823,arm_link3_to_arm4_joint,,,
1783419908219031823,arm_link4_to_armFork_joint,,,
1783419908319089823,base_to_cylinder_joint,,,
1783419908319089823,cylinder_to_arm1_joint,,,
1783419908319089823,arm_link1_to_arm2_joint,,,
1783419908319089823,arm_link2_to_arm3_joint,,,
1783419908319089823,arm_link3_to_arm4_joint,,,
1783419908319089823,arm_link4_to_armFork_joint,,,
1783419908419056555,base_to_cylinder_joint,,,
1783419908419056555,cylinder_to_arm1_joint,,,
1783419908419056555,arm_link1_to_arm2_joint,,,
1783419908419056555,arm_link2_to_arm3_joint,,,
1783419908419056555,arm_link3_to_arm4_joint,,,
1783419908419056555,arm_link4_to_armFork_joint,,,
1783419908519027691,base_to_cylinder_joint,,,
1783419908519027691,cylinder_to_arm1_joint,,,
1783419908519027691,arm_link1_to_arm2_joint,,,
1783419908519027691,arm_link2_to_arm3_joint,,,
1783419908519027691,arm_link3_to_arm4_joint,,,
1783419908519027691,arm_link4_to_armFork_joint,,,
1783419908619050234,base_to_cylinder_joint,,,
1783419908619050234,cylinder_to_arm1_joint,,,
1783419908619050234,arm_link1_to_arm2_joint,,,
1783419908619050234,arm_link2_to_arm3_joint,,,
1783419908619050234,arm_link3_to_arm4_joint,,,
1783419908619050234,arm_link4_to_armFork_joint,,,
1783419908719021765,base_to_cylinder_joint,,,
1783419908719021765,cylinder_to_arm1_joint,,,
1783419908719021765,arm_link1_to_arm2_joint,,,
1783419908719021765,arm_link2_to_arm3_joint,,,
1783419908719021765,arm_link3_to_arm4_joint,,,
1783419908719021765,arm_link4_to_armFork_joint,,,
1783419908819044615,base_to_cylinder_joint,,,
1783419908819044615,cylinder_to_arm1_joint,,,
1783419908819044615,arm_link1_to_arm2_joint,,,
1783419908819044615,arm_link2_to_arm3_joint,,,
1783419908819044615,arm_link3_to_arm4_joint,,,
1783419908819044615,arm_link4_to_armFork_joint,,,
1783419908919855235,base_to_cylinder_joint,,,
1783419908919855235,cylinder_to_arm1_joint,,,
1783419908919855235,arm_link1_to_arm2_joint,,,
1783419908919855235,arm_link2_to_arm3_joint,,,
1783419908919855235,arm_link3_to_arm4_joint,,,
1783419908919855235,arm_link4_to_armFork_joint,,,
1783419909023257414,base_to_cylinder_joint,,,
1783419909023257414,cylinder_to_arm1_joint,,,
1783419909023257414,arm_link1_to_arm2_joint,,,
1783419909023257414,arm_link2_to_arm3_joint,,,
1783419909023257414,arm_link3_to_arm4_joint,,,
1783419909023257414,arm_link4_to_armFork_joint,,,
1783419909119047705,base_to_cylinder_joint,,,
1783419909119047705,cylinder_to_arm1_joint,,,
1783419909119047705,arm_link1_to_arm2_joint,,,
1783419909119047705,arm_link2_to_arm3_joint,,,
1783419909119047705,arm_link3_to_arm4_joint,,,
1783419909119047705,arm_link4_to_armFork_joint,,,
1783419909219030562,base_to_cylinder_joint,,,
1783419909219030562,cylinder_to_arm1_joint,,,
1783419909219030562,arm_link1_to_arm2_joint,,,
1783419909219030562,arm_link2_to_arm3_joint,,,
1783419909219030562,arm_link3_to_arm4_joint,,,
1783419909219030562,arm_link4_to_armFork_joint,,,
1783419909319034540,base_to_cylinder_joint,,,
1783419909319034540,cylinder_to_arm1_joint,,,
1783419909319034540,arm_link1_to_arm2_joint,,,
1783419909319034540,arm_link2_to_arm3_joint,,,
1783419909319034540,arm_link3_to_arm4_joint,,,
1783419909319034540,arm_link4_to_armFork_joint,,,
1783419909419063729,base_to_cylinder_joint,,,
1783419909419063729,cylinder_to_arm1_joint,,,
1783419909419063729,arm_link1_to_arm2_joint,,,
1783419909419063729,arm_link2_to_arm3_joint,,,
1783419909419063729,arm_link3_to_arm4_joint,,,
1783419909419063729,arm_link4_to_armFork_joint,,,
1783419909519547896,base_to_cylinder_joint,,,
1783419909519547896,cylinder_to_arm1_joint,,,
1783419909519547896,arm_link1_to_arm2_joint,,,
1783419909519547896,arm_link2_to_arm3_joint,,,
1783419909519547896,arm_link3_to_arm4_joint,,,
1783419909519547896,arm_link4_to_armFork_joint,,,
1783419909621102070,base_to_cylinder_joint,,,
1783419909621102070,cylinder_to_arm1_joint,,,
1783419909621102070,arm_link1_to_arm2_joint,,,
1783419909621102070,arm_link2_to_arm3_joint,,,
1783419909621102070,arm_link3_to_arm4_joint,,,
1783419909621102070,arm_link4_to_armFork_joint,,,
1783419909719052624,base_to_cylinder_joint,,,
1783419909719052624,cylinder_to_arm1_joint,,,
1783419909719052624,arm_link1_to_arm2_joint,,,
1783419909719052624,arm_link2_to_arm3_joint,,,
1783419909719052624,arm_link3_to_arm4_joint,,,
1783419909719052624,arm_link4_to_armFork_joint,,,
1783419909819025299,base_to_cylinder_joint,,,
1783419909819025299,cylinder_to_arm1_joint,,,
1783419909819025299,arm_link1_to_arm2_joint,,,
1783419909819025299,arm_link2_to_arm3_joint,,,
1783419909819025299,arm_link3_to_arm4_joint,,,
1783419909819025299,arm_link4_to_armFork_joint,,,
1783419909919022539,base_to_cylinder_joint,,,
1783419909919022539,cylinder_to_arm1_joint,,,
1783419909919022539,arm_link1_to_arm2_joint,,,
1783419909919022539,arm_link2_to_arm3_joint,,,
1783419909919022539,arm_link3_to_arm4_joint,,,
1783419909919022539,arm_link4_to_armFork_joint,,,
1783419910019016368,base_to_cylinder_joint,,,
1783419910019016368,cylinder_to_arm1_joint,,,
1783419910019016368,arm_link1_to_arm2_joint,,,
1783419910019016368,arm_link2_to_arm3_joint,,,
1783419910019016368,arm_link3_to_arm4_joint,,,
1783419910019016368,arm_link4_to_armFork_joint,,,
1783419910119022061,base_to_cylinder_joint,,,
1783419910119022061,cylinder_to_arm1_joint,,,
1783419910119022061,arm_link1_to_arm2_joint,,,
1783419910119022061,arm_link2_to_arm3_joint,,,
1783419910119022061,arm_link3_to_arm4_joint,,,
1783419910119022061,arm_link4_to_armFork_joint,,,
1783419910219034354,base_to_cylinder_joint,,,
1783419910219034354,cylinder_to_arm1_joint,,,
1783419910219034354,arm_link1_to_arm2_joint,,,
1783419910219034354,arm_link2_to_arm3_joint,,,
1783419910219034354,arm_link3_to_arm4_joint,,,
1783419910219034354,arm_link4_to_armFork_joint,,,
1783419910319036575,base_to_cylinder_joint,,,
1783419910319036575,cylinder_to_arm1_joint,,,
1783419910319036575,arm_link1_to_arm2_joint,,,
1783419910319036575,arm_link2_to_arm3_joint,,,
1783419910319036575,arm_link3_to_arm4_joint,,,
1783419910319036575,arm_link4_to_armFork_joint,,,
1783419910419048654,base_to_cylinder_joint,,,
1783419910419048654,cylinder_to_arm1_joint,,,
1783419910419048654,arm_link1_to_arm2_joint,,,
1783419910419048654,arm_link2_to_arm3_joint,,,
